gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
SOX9-AS1,13.01,6.31,19.77,11.36,27.79,9.85,20.91,13.29,1.79,30.23,19.35,6.70,1.47,18.95,5.88
LINC02097,0.00,0.73,0.46,2.27,1.16,1.17,0.12,0.11,0.19,0.06,0.00,0.00,0.08,0.10,0.00
SOX9,26.39,16.13,82.41,65.91,49.08,23.56,93.72,24.56,4.14,96.18,43.55,12.28,5.40,86.69,33.33
LINC00511,16.36,5.54,10.46,15.91,35.11,11.14,12.13,17.47,3.34,18.04,6.45,20.54,2.55,13.90,11.76
SLC39A11,55.76,41.47,27.93,20.45,74.38,48.30,42.90,61.46,51.89,57.89,30.65,55.80,39.20,38.90,25.49
SSTR2,10.04,9.08,26.78,27.27,13.14,6.92,50.30,9.48,2.28,68.94,43.55,12.05,5.36,44.57,35.29
COG1,5.95,8.55,7.82,6.82,13.14,10.20,14.95,8.63,8.01,23.30,20.97,5.80,7.87,13.21,19.61
AC097641.2,0.00,0.12,0.23,0.00,0.17,0.00,0.36,0.00,0.10,0.36,1.61,0.22,0.08,0.57,0.00
FAM104A,9.67,11.20,8.74,4.55,19.97,19.81,22.03,12.92,12.32,31.48,30.65,12.05,11.64,18.53,21.57
C17orf80,7.81,6.72,8.28,13.64,10.98,9.03,11.77,8.63,5.67,17.03,22.58,4.69,4.61,10.84,19.61
CPSF4L,4.83,0.33,0.00,0.00,1.66,0.70,0.04,1.16,0.10,0.12,0.00,3.35,0.34,0.15,1.96
CDC42EP4,27.88,11.28,27.36,27.27,27.29,9.73,15.19,20.06,6.85,20.25,48.39,23.44,10.47,16.44,39.22
SDK2,40.15,12.51,22.64,13.64,62.90,22.63,37.81,34.78,10.00,50.06,25.81,36.61,12.98,32.23,43.14
RPL38,38.66,77.27,89.66,68.18,56.07,90.86,96.78,41.50,85.13,98.33,98.39,39.51,88.57,89.16,94.12
AC100786.1,1.49,0.49,0.69,0.00,0.67,0.70,0.56,2.49,0.99,0.48,0.00,1.34,0.63,0.27,0.00
TTYH2,6.69,7.21,3.22,4.55,9.15,6.92,3.26,9.00,9.13,2.75,14.52,6.03,3.31,3.03,3.92
DNAI2,1.12,1.34,0.11,0.00,1.50,1.88,0.04,2.17,3.12,0.06,0.00,0.22,0.75,0.02,0.00
KIF19,0.00,0.69,0.00,0.00,0.00,1.06,0.16,0.79,3.90,0.24,3.23,0.22,0.42,0.15,1.96
GPRC5C,9.29,7.58,34.02,22.73,24.46,13.01,50.58,13.76,6.68,62.07,56.45,9.60,5.61,42.30,47.06
CD300A,1.49,9.69,1.72,0.00,3.66,11.14,4.25,4.08,11.19,3.05,4.84,4.02,10.59,2.01,0.00
CD300LB,1.12,1.18,0.00,0.00,0.50,0.94,0.04,2.54,3.90,0.00,0.00,1.34,0.71,0.02,0.00
CD300E,0.37,1.51,0.00,0.00,0.50,1.06,0.08,1.85,4.94,0.06,0.00,1.12,1.88,0.12,0.00
RAB37,0.74,6.56,0.11,2.27,1.50,10.32,0.20,0.95,5.40,0.30,4.84,1.56,11.31,0.17,0.00
CD300LF,0.37,1.38,0.57,0.00,0.00,1.17,0.00,0.90,4.99,0.00,0.00,0.45,1.13,0.12,0.00
SLC9A3R1,5.95,20.00,7.70,4.55,13.81,31.30,31.01,11.12,20.56,32.68,32.26,12.72,32.58,20.02,9.80
NAT9,6.69,8.39,15.75,6.82,13.48,9.85,29.74,8.10,7.99,38.41,30.65,3.35,7.24,24.70,15.69
TMEM104,4.09,4.28,5.17,4.55,13.48,7.62,14.99,10.16,7.05,20.67,8.06,5.58,3.64,12.06,5.88
GRIN2C,1.12,1.14,0.69,0.00,0.33,1.17,0.28,1.06,1.53,0.54,1.61,0.67,0.59,0.37,0.00
FDXR,0.00,0.90,0.80,2.27,1.00,1.76,2.94,0.58,1.14,3.17,6.45,0.45,0.92,1.72,7.84
FADS6,0.00,0.04,0.00,0.00,0.17,0.00,0.00,0.00,0.10,0.06,0.00,0.00,0.04,0.05,1.96
HID1,0.37,1.06,0.00,0.00,1.33,2.11,0.24,3.34,9.25,0.18,8.06,0.89,1.51,0.12,0.00
HID1-AS1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.17,0.00,1.61,0.00,0.00,0.02,0.00
CDR2L,2.60,1.06,0.46,0.00,1.83,0.59,1.87,2.28,0.90,1.91,6.45,4.24,0.59,1.34,7.84
MRPL58,2.97,3.14,3.91,0.00,4.83,5.16,10.34,4.45,4.04,14.99,9.68,1.56,3.35,8.08,3.92
KCTD2,7.81,8.23,11.03,9.09,15.64,9.38,16.90,11.22,6.83,15.77,20.97,7.37,6.20,12.88,11.76
ATP5PD,7.43,17.23,25.40,29.55,10.82,25.09,55.39,8.05,19.23,67.98,67.74,7.14,17.96,43.02,56.86
SLC16A5,3.35,3.18,1.38,0.00,5.16,3.63,2.58,3.81,2.64,2.63,3.23,2.90,1.84,2.39,7.84
ARMC7,2.97,4.15,2.53,2.27,3.66,4.92,4.85,3.81,4.29,5.56,9.68,2.90,3.94,4.10,3.92
NT5C,5.58,16.01,16.44,11.36,7.65,19.81,28.11,4.71,17.02,36.74,32.26,4.46,17.29,20.96,25.49
JPT1,13.75,13.81,9.31,4.55,20.47,22.63,24.06,13.66,16.78,29.21,25.81,12.50,15.62,17.26,15.69
SUMO2,23.05,43.87,63.22,54.55,30.12,55.33,82.07,22.23,45.25,88.23,85.48,16.96,44.26,66.87,74.51
NUP85,10.41,10.06,7.59,6.82,17.30,11.02,15.63,10.69,9.64,13.44,25.81,9.15,7.54,9.70,19.61
GGA3,13.38,14.91,7.93,11.36,18.30,18.64,15.94,16.30,22.25,17.74,22.58,14.51,17.42,11.46,13.73
MRPS7,2.60,8.64,10.69,11.36,7.65,12.31,25.92,5.66,13.00,38.41,40.32,5.13,8.79,21.64,37.25
MIF4GD,1.49,5.66,2.53,0.00,1.83,6.45,3.50,4.24,9.95,5.02,17.74,1.12,5.82,3.51,9.80
AC022211.2,0.74,0.65,0.00,0.00,0.83,0.12,0.32,0.48,1.09,0.12,0.00,1.12,0.42,0.17,1.96
SLC25A19,4.46,4.56,0.69,2.27,5.32,5.74,1.39,11.17,10.22,1.37,3.23,6.70,4.48,0.92,0.00
GRB2,30.48,36.95,19.89,11.36,43.93,47.25,32.64,46.00,57.53,41.88,53.23,30.36,37.35,26.31,41.18
AC011933.4,2.60,7.54,0.00,0.00,3.16,9.96,0.00,4.08,15.88,0.00,0.00,1.56,8.25,0.00,0.00
AC011933.2,1.49,0.65,0.46,0.00,1.83,0.59,0.36,2.06,1.69,0.24,3.23,0.89,0.29,0.30,1.96
TMEM94,11.90,12.63,13.45,11.36,18.14,14.89,17.02,12.28,12.81,18.88,33.87,9.82,9.67,16.56,27.45
CASKIN2,2.23,2.65,8.74,6.82,8.32,5.86,11.69,3.65,3.03,13.98,30.65,1.34,1.76,10.49,21.57
TSEN54,4.83,9.45,2.07,6.82,11.65,16.18,8.11,6.62,7.97,6.99,11.29,9.60,14.82,5.77,7.84
LLGL2,5.58,9.45,0.92,0.00,12.98,14.19,2.66,11.81,10.77,5.91,8.06,10.94,14.91,4.30,5.88
MYO15B,24.91,27.82,14.14,11.36,23.46,22.51,7.40,26.42,30.53,7.05,29.03,18.30,16.33,7.98,23.53
RECQL5,6.32,6.92,10.34,4.55,14.98,9.96,17.10,9.48,9.69,20.73,17.74,6.92,4.23,14.67,15.69
SMIM5,3.72,4.32,21.38,6.82,12.98,14.07,66.80,7.73,3.95,87.10,38.71,1.34,1.63,53.94,7.84
SAP30BP,28.25,19.55,17.24,15.91,38.94,24.50,28.95,26.31,24.62,37.99,38.71,19.87,19.97,25.44,23.53
ITGB4,0.74,0.98,2.41,2.27,4.49,2.34,3.30,5.77,4.50,3.82,14.52,1.79,0.80,2.51,0.00
GALK1,3.35,5.91,8.85,4.55,5.32,8.91,35.43,3.92,7.24,49.04,32.26,2.23,4.10,27.36,13.73
H3F3B,52.42,80.12,91.38,90.91,56.91,88.86,94.99,47.80,81.67,98.03,93.55,43.97,82.66,89.68,88.24
UNK,34.57,27.54,15.17,9.09,50.75,30.25,23.74,39.81,30.29,26.64,25.81,31.47,23.70,18.38,19.61
UNC13D,5.58,9.61,3.33,0.00,10.48,13.60,4.10,8.58,12.08,10.69,6.45,7.37,14.36,5.20,3.92
WBP2,8.18,16.37,24.25,18.18,16.31,21.10,45.88,14.08,18.31,68.16,56.45,9.38,15.66,41.81,39.22
TRIM47,3.72,3.18,23.91,13.64,16.81,6.68,61.43,10.16,3.92,87.46,51.61,4.24,2.14,56.60,21.57
AC087289.5,0.37,0.20,1.03,0.00,1.33,0.23,2.58,0.79,0.15,6.57,8.06,0.00,0.08,3.71,3.92
TRIM65,11.52,8.39,10.57,4.55,24.13,11.72,21.23,15.93,8.91,29.87,19.35,8.71,6.45,17.43,5.88
MRPL38,2.60,9.37,14.60,9.09,7.65,15.36,28.75,4.98,11.14,41.70,37.10,4.46,9.05,24.89,13.73
FBF1,5.20,4.56,4.60,2.27,12.31,7.27,4.73,7.52,3.83,6.33,6.45,7.37,4.44,3.93,1.96
ACOX1,20.45,13.69,20.34,31.82,28.45,14.07,35.55,22.18,13.32,57.71,50.00,15.62,8.63,37.48,39.22
AC087289.4,0.00,0.00,0.00,2.27,0.00,0.12,0.00,0.00,0.02,0.06,0.00,0.00,0.00,0.00,0.00
TEN1,5.58,5.82,6.67,4.55,7.32,6.57,14.51,4.82,6.05,18.46,12.90,6.03,4.06,12.11,27.45
CDK3,2.60,3.26,3.33,2.27,4.16,3.87,7.04,2.54,3.08,7.59,8.06,2.68,2.85,6.29,9.80
EVPL,0.37,0.81,0.11,0.00,0.83,1.06,0.04,0.85,0.99,0.00,0.00,0.89,0.63,0.05,0.00
SRP68,10.78,9.53,17.47,13.64,18.64,16.18,36.06,15.67,13.78,45.64,45.16,10.27,10.05,27.01,23.53
ZACN,0.00,0.24,0.00,0.00,0.17,0.00,0.04,0.42,0.39,0.06,1.61,0.00,0.04,0.10,0.00
EXOC7,21.19,21.06,27.93,15.91,26.79,22.27,35.90,19.64,17.22,43.97,50.00,14.51,17.67,33.03,50.98
FOXJ1,0.37,0.94,5.75,4.55,2.00,1.88,4.10,1.06,0.51,4.00,4.84,0.00,0.42,4.50,0.00
RNF157-AS1,0.00,0.81,0.69,0.00,0.50,1.41,0.04,0.32,0.41,0.00,0.00,0.45,1.21,0.22,0.00
RNF157,6.32,9.94,6.32,0.00,7.15,13.36,1.63,4.13,5.38,1.14,8.06,5.58,14.74,1.39,0.00
UBALD2,9.29,17.31,21.72,13.64,14.81,29.78,31.33,15.09,25.35,35.96,45.16,12.05,22.78,27.21,25.49
QRICH2,5.20,3.14,1.15,0.00,6.82,6.33,1.79,6.19,6.44,2.99,0.00,7.14,3.06,2.34,0.00
PRPSAP1,31.23,19.02,16.67,15.91,27.62,18.52,21.43,27.53,20.85,32.92,40.32,28.79,14.45,22.31,45.10
SPHK1,5.58,2.89,7.24,2.27,3.99,3.28,1.51,2.44,2.74,1.91,3.23,5.36,3.31,2.29,11.76
UBE2O,24.16,23.38,11.38,11.36,38.77,29.54,21.59,31.60,31.72,24.67,22.58,25.00,19.89,16.21,21.57
AANAT,0.00,1.38,0.00,0.00,1.16,1.64,0.20,0.48,3.03,0.12,0.00,0.67,0.92,0.17,0.00
RHBDF2,8.92,17.39,7.01,4.55,16.47,19.11,7.67,20.06,36.46,13.14,14.52,15.62,15.91,8.65,13.73
CYGB,13.38,20.12,17.36,36.36,3.66,4.45,8.27,2.22,3.61,4.24,16.13,2.01,3.81,6.67,7.84
PRCD,5.95,4.28,3.56,9.09,6.32,2.46,1.23,2.65,1.60,1.25,3.23,1.56,1.59,1.59,0.00
AC015802.4,3.72,1.06,0.57,0.00,2.16,1.06,0.28,1.59,0.97,0.00,0.00,0.22,0.59,0.17,0.00
AC015802.5,0.37,0.53,1.49,2.27,0.67,0.12,0.44,0.05,0.10,0.60,1.61,0.00,0.17,0.55,0.00
SNHG16,12.64,14.58,40.11,27.27,26.96,22.86,70.18,18.32,16.61,82.80,59.68,14.96,15.16,57.62,66.67
AC015802.6,1.49,1.55,0.80,4.55,0.83,3.75,2.11,0.42,1.65,2.75,14.52,0.89,2.55,1.37,13.73
ST6GALNAC2,0.74,1.02,0.00,0.00,2.00,0.70,0.00,1.91,0.97,0.00,0.00,3.12,1.47,0.05,0.00
AC015802.1,0.00,0.00,0.00,2.27,0.17,0.00,0.00,0.16,0.05,0.06,0.00,0.00,0.04,0.02,0.00
AC005837.1,1.12,1.26,1.95,2.27,3.00,1.41,0.44,1.48,0.82,0.54,4.84,1.34,1.05,0.87,1.96
MXRA7,25.28,16.50,28.62,27.27,27.79,17.23,44.69,15.88,8.09,57.11,54.84,14.96,9.84,38.60,50.98
JMJD6,12.64,14.75,16.78,15.91,23.79,22.74,27.91,17.84,16.15,39.37,22.58,15.85,15.95,23.97,17.65
METTL23,6.32,11.41,9.89,9.09,7.49,15.71,17.34,7.73,14.53,21.03,29.03,6.47,13.07,12.11,23.53
SRSF2,29.00,36.50,54.25,47.73,42.76,50.29,80.83,30.55,41.67,86.38,67.74,27.01,36.43,68.02,50.98
MFSD11,24.54,20.37,12.87,6.82,39.60,22.27,18.13,28.43,21.96,22.40,29.03,24.78,17.63,15.07,25.49
LINC02080,0.74,1.10,0.00,0.00,1.00,1.06,0.04,0.74,1.60,0.00,0.00,0.45,0.71,0.02,0.00
MGAT5B,1.49,0.53,0.11,0.00,0.00,0.23,0.04,0.95,0.19,0.00,1.61,2.46,0.38,0.07,1.96
AC016168.2,0.37,0.41,0.00,0.00,0.33,2.11,0.00,1.32,2.03,0.00,0.00,0.22,1.34,0.00,0.00
SNHG20,5.58,3.79,5.63,0.00,8.49,2.81,8.87,6.72,5.06,12.19,20.97,3.57,4.31,7.71,13.73
SEC14L1,50.93,31.77,25.17,29.55,54.41,33.88,42.98,54.63,48.50,64.87,61.29,45.76,27.89,40.26,54.90
SEPTIN9-DT,0.00,0.81,0.00,0.00,0.83,0.35,0.00,0.26,1.48,0.00,0.00,0.00,0.17,0.00,0.00
SEPTIN9,57.62,49.16,39.77,36.36,77.04,63.07,72.09,59.98,51.21,82.68,59.68,51.12,57.33,59.11,72.55
AC111182.1,0.37,0.61,0.11,0.00,0.17,1.52,0.08,0.26,0.24,0.36,4.84,0.45,0.75,0.35,0.00
AC111170.1,0.00,2.24,0.00,0.00,1.66,3.05,0.04,1.06,1.84,0.00,3.23,0.67,3.18,0.00,0.00
AC021683.3,1.49,1.75,5.86,9.09,3.49,2.23,5.53,1.27,1.09,5.32,3.23,1.12,0.96,3.68,0.00
AC021683.2,1.86,0.49,0.00,0.00,1.16,0.23,0.00,1.64,0.44,0.00,1.61,0.45,0.08,0.00,1.96
AC021683.5,1.12,1.38,0.11,0.00,0.17,0.94,0.08,0.53,0.46,0.00,0.00,1.79,1.47,0.07,1.96
TNRC6C,63.57,55.19,39.31,45.45,69.22,54.98,34.79,48.33,38.09,32.50,54.84,50.00,55.03,30.17,45.10
TNRC6C-AS1,4.09,9.08,10.92,4.55,4.99,13.36,5.61,5.66,8.89,8.54,12.90,4.46,13.07,7.06,5.88
TMC6,8.18,17.76,12.30,9.09,16.97,25.67,14.19,12.86,24.07,21.51,30.65,10.49,25.42,14.60,3.92
TMC8,5.58,28.19,0.80,2.27,7.65,37.40,0.28,9.21,27.60,0.42,3.23,14.51,42.17,0.57,5.88
C17orf99,0.37,1.63,0.23,0.00,1.50,5.16,0.20,1.38,2.03,0.06,1.61,0.89,3.18,0.17,1.96
SYNGR2,0.74,11.49,14.71,13.64,3.99,14.30,8.47,6.56,29.08,23.12,51.61,2.90,10.22,14.87,17.65
TK1,0.00,0.61,1.26,0.00,8.32,5.63,20.52,1.38,1.84,4.00,0.00,0.67,0.80,5.50,0.00
AFMID,11.15,9.65,5.86,4.55,12.81,9.38,7.00,13.02,12.64,8.60,11.29,8.26,4.31,6.69,15.69
BIRC5,1.49,0.45,1.72,0.00,8.65,8.09,16.62,1.32,0.87,2.27,0.00,0.22,0.42,3.36,0.00
TMEM235,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,1.61,0.00,0.00,0.00,0.00
LINC01993,0.37,0.16,0.23,2.27,0.17,0.23,0.24,0.85,1.53,0.30,0.00,0.45,0.17,0.27,0.00
AC087645.2,7.06,1.75,5.17,6.82,7.49,1.41,6.12,5.24,2.11,11.11,8.06,5.36,0.96,6.71,3.92
SOCS3,34.94,13.32,75.17,68.18,30.95,15.36,82.50,24.46,12.74,90.62,80.65,22.32,8.38,80.45,60.78
AC061992.2,11.15,2.53,0.46,0.00,11.15,3.05,1.83,7.78,2.32,2.57,4.84,7.81,1.17,1.96,0.00
PGS1,16.36,12.30,6.67,2.27,20.63,17.23,13.24,20.22,15.21,18.64,27.42,15.18,10.64,11.49,17.65
DNAH17,4.46,2.40,0.46,0.00,2.66,3.05,0.48,3.81,4.14,0.66,0.00,2.01,2.43,0.40,0.00
SCAT1,1.49,2.08,0.23,0.00,0.50,3.05,0.04,2.01,3.49,0.06,0.00,1.56,1.76,0.02,0.00
CYTH1,41.64,52.02,21.72,25.00,58.07,64.60,21.99,54.95,67.19,23.18,32.26,52.01,60.05,17.76,25.49
USP36,37.92,37.27,17.59,4.55,58.07,43.73,23.78,52.67,47.19,28.67,29.03,47.32,38.90,20.84,19.61
AC022966.2,0.74,1.22,0.57,0.00,0.50,1.06,0.36,2.06,1.72,1.14,0.00,0.45,0.80,0.52,0.00
TIMP2,62.45,50.06,94.25,81.82,67.89,39.51,97.02,52.67,42.11,93.43,90.32,45.31,28.39,91.25,84.31
CEP295NL,4.09,0.65,0.92,0.00,4.99,0.82,1.11,4.13,0.77,2.39,1.61,4.24,0.29,2.01,1.96
AC100788.1,0.37,0.16,0.00,0.00,0.17,0.00,0.16,0.26,0.27,0.06,0.00,0.22,0.04,0.05,3.92
LGALS3BP,8.92,23.71,11.38,22.73,2.50,7.27,6.20,2.38,11.36,5.02,19.35,4.69,9.63,6.19,45.10
CANT1,9.67,8.80,22.07,11.36,17.14,13.01,54.63,11.06,8.09,70.31,53.23,9.38,7.16,44.09,39.22
C1QTNF1-AS1,2.97,1.91,0.57,0.00,1.50,0.70,0.99,1.91,1.04,2.03,4.84,4.46,2.01,0.95,13.73
C1QTNF1,38.66,23.83,30.00,29.55,19.97,10.67,22.35,20.06,9.47,26.16,43.55,34.38,17.55,20.29,70.59
ENGASE,13.75,18.00,8.28,6.82,10.32,17.58,6.84,15.09,23.78,8.48,8.06,18.75,13.90,7.46,17.65
RBFOX3,1.12,3.01,0.00,0.00,1.33,3.52,0.12,1.11,5.01,0.12,1.61,2.46,2.51,0.15,0.00
CBX2,0.00,0.16,0.00,2.27,0.17,0.59,0.28,0.26,0.24,0.12,8.06,0.00,0.13,0.22,1.96
CBX8,0.37,0.86,2.41,6.82,2.16,1.88,4.89,1.27,1.31,7.17,4.84,0.67,0.92,4.73,5.88
CBX4,10.78,13.44,18.05,13.64,11.81,16.88,13.96,11.96,18.01,21.03,25.81,11.83,14.41,14.92,13.73
LINC01978,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.06,1.61,0.00,0.04,0.00,0.00
TBC1D16,33.83,17.84,8.62,9.09,26.79,8.91,8.59,20.54,9.27,8.84,14.52,22.77,7.96,7.76,21.57
CCDC40,13.01,5.21,2.30,4.55,16.64,3.87,2.50,12.33,4.48,2.93,3.23,10.94,1.34,3.46,3.92
GAA,12.64,20.41,32.30,18.18,11.15,20.40,51.53,7.15,19.88,58.60,50.00,5.80,8.63,43.99,33.33
EIF4A3,17.84,28.02,20.92,13.64,22.30,32.94,35.59,26.31,41.28,40.20,45.16,18.75,23.53,27.26,33.33
CARD14,1.12,1.06,0.57,2.27,1.00,1.99,0.91,0.58,1.36,1.25,3.23,0.45,1.42,0.99,1.96
AC087741.1,1.12,1.96,2.76,0.00,2.00,1.99,0.40,1.85,2.08,1.14,6.45,2.90,2.93,0.92,1.96
SGSH,1.12,2.20,8.28,2.27,2.83,2.93,7.55,1.85,2.15,8.36,17.74,2.01,1.55,7.39,15.69
SLC26A11,10.04,4.85,7.36,15.91,9.15,4.81,5.09,7.99,3.58,6.21,17.74,6.70,6.74,5.79,13.73
RNF213,53.53,72.59,31.15,34.09,57.57,71.51,17.50,56.86,73.03,21.74,53.23,59.15,76.17,19.05,43.14
AC124319.1,0.37,0.81,0.23,0.00,0.67,0.23,0.04,0.53,0.92,0.00,1.61,0.67,0.46,0.07,0.00
RNF213-AS1,26.39,22.08,2.53,2.27,39.93,26.26,2.54,26.63,21.07,2.15,3.23,16.52,24.16,1.91,1.96
ENDOV,8.55,6.76,13.79,4.55,16.81,9.50,20.44,9.90,8.55,21.15,17.74,7.14,5.07,16.34,5.88
NPTX1,0.00,0.24,0.34,0.00,0.50,0.82,1.03,0.21,0.29,0.30,0.00,0.00,0.13,0.22,0.00
RPTOR,50.56,35.97,4.25,2.27,63.06,43.85,8.27,53.57,43.22,10.69,11.29,43.97,33.88,6.79,7.84
AC016245.1,0.00,0.20,0.00,0.00,0.00,0.35,0.20,0.00,0.15,0.12,1.61,0.00,0.13,0.12,0.00
AC127496.1,0.37,0.20,0.00,0.00,0.50,0.47,0.04,0.26,0.27,0.12,1.61,0.00,0.21,0.00,0.00
CHMP6,7.81,8.39,7.70,2.27,10.15,10.90,17.85,6.62,8.16,30.53,17.74,7.81,7.54,17.78,21.57
AC127496.5,0.00,0.45,0.23,0.00,0.67,0.82,0.24,0.11,0.44,0.18,1.61,0.22,0.34,0.20,0.00
BAIAP2-DT,2.60,3.38,4.14,9.09,3.99,2.23,4.25,2.96,2.20,6.99,17.74,2.01,1.30,4.25,7.84
BAIAP2,27.88,13.08,21.84,11.36,42.43,15.71,30.78,34.67,17.00,41.28,27.42,25.00,7.33,32.73,13.73
AATK,5.20,4.32,7.59,6.82,7.15,5.16,8.63,6.19,4.89,13.74,14.52,4.91,2.72,9.62,3.92
CEP131,2.23,3.42,5.52,2.27,4.33,6.45,6.92,3.18,4.16,6.51,17.74,2.01,3.10,4.85,13.73
TEPSIN,1.49,4.97,3.91,0.00,2.83,5.51,6.76,3.49,5.86,6.81,8.06,2.23,4.65,6.24,5.88
NDUFAF8,10.04,12.06,29.66,20.45,15.97,18.05,60.52,8.63,16.34,73.36,56.45,5.36,12.94,48.50,45.10
SLC38A10,15.99,23.91,38.39,22.73,28.29,27.78,54.99,24.83,33.32,66.37,45.16,17.63,18.89,46.43,49.02
AC027601.4,0.37,0.00,0.69,0.00,0.00,0.70,0.52,0.32,0.15,0.24,0.00,0.67,0.38,0.30,1.96
LINC00482,0.74,0.12,0.00,0.00,1.00,0.35,0.04,0.69,0.19,0.36,1.61,0.00,0.17,0.22,0.00
AC027601.6,4.46,1.59,2.87,4.55,6.32,0.82,4.45,3.76,1.11,6.51,3.23,2.01,0.59,4.77,0.00
AC110285.1,0.74,0.90,0.34,0.00,1.33,0.94,0.04,1.69,1.04,0.06,0.00,1.34,0.34,0.15,0.00
AC110285.5,1.49,0.33,0.11,0.00,0.17,0.47,0.00,0.64,0.61,0.24,0.00,0.45,0.17,0.17,1.96
AC110285.2,1.86,1.30,0.69,2.27,0.83,0.47,0.32,0.58,0.90,0.36,6.45,0.67,0.34,0.25,1.96
BAHCC1,8.92,5.42,4.25,9.09,11.31,6.33,5.37,12.12,5.84,9.38,17.74,6.03,2.72,5.72,7.84
AC110285.4,0.00,0.00,0.00,4.55,0.00,0.00,0.04,0.05,0.00,0.00,0.00,0.00,0.00,0.02,0.00
ACTG1,48.70,78.25,95.17,90.91,58.40,86.28,98.69,46.48,78.16,99.28,93.55,45.31,86.77,94.85,90.20
AC139149.1,0.74,1.10,0.11,0.00,2.66,1.41,0.00,2.06,1.91,0.00,0.00,0.89,0.96,0.02,0.00
FAAP100,5.95,6.31,16.09,2.27,8.32,7.39,34.59,7.73,7.26,41.04,25.81,5.58,5.82,27.93,23.53
NPLOC4,30.86,23.83,14.94,18.18,46.26,28.14,34.39,34.20,26.59,40.86,35.48,27.01,16.29,28.50,25.49
TSPAN10,1.49,1.34,2.99,2.27,1.83,1.64,2.86,1.01,0.97,4.48,14.52,1.34,0.46,3.13,3.92
PDE6G,0.00,0.98,0.69,0.00,0.83,1.41,1.15,0.42,1.60,1.43,3.23,0.22,0.75,0.95,0.00
OXLD1,2.23,5.95,9.20,9.09,3.49,7.39,15.79,1.96,6.63,22.28,24.19,2.01,5.86,12.48,19.61
CCDC137,4.46,8.11,6.55,4.55,9.48,11.72,15.31,6.88,9.95,16.55,24.19,5.36,9.00,10.62,13.73
ARL16,3.72,9.16,19.66,13.64,10.15,12.31,37.14,6.19,8.64,47.67,37.10,4.24,8.21,26.46,31.37
HGS,10.41,13.93,16.55,9.09,18.14,15.24,31.29,14.72,14.36,39.96,38.71,10.49,12.73,25.67,25.49
AC139530.3,0.37,0.61,0.92,0.00,0.50,1.29,0.83,0.26,0.36,1.02,0.00,0.89,0.29,0.99,0.00
AC139530.1,1.12,2.32,4.48,4.55,2.66,3.05,4.06,2.17,1.99,3.76,9.68,1.34,2.22,3.03,9.80
MRPL12,5.20,6.35,18.62,15.91,13.48,11.14,48.91,7.41,9.08,64.99,29.03,5.80,6.70,38.95,35.29
SLC25A10,1.12,1.47,5.29,2.27,2.33,3.75,12.37,2.17,1.40,28.79,8.06,0.67,1.26,17.18,9.80
MCRIP1,7.81,15.48,28.74,22.73,12.98,20.28,53.80,9.11,13.95,55.56,41.94,8.04,14.49,40.14,47.06
P4HB,38.29,43.50,87.47,70.45,58.24,52.75,98.89,41.08,44.60,98.81,74.19,34.15,34.88,94.75,76.47
AC145207.3,0.00,0.20,0.00,0.00,0.00,0.70,0.16,0.32,0.12,0.42,1.61,0.00,0.13,0.15,0.00
AC145207.2,0.37,0.12,0.23,4.55,0.00,0.35,0.40,0.16,0.15,0.72,1.61,0.22,0.13,0.37,7.84
ARHGDIA,11.90,26.44,42.53,29.55,19.13,37.16,75.98,14.88,34.48,87.04,66.13,7.81,30.70,61.65,50.98
AC145207.5,1.49,1.83,5.40,2.27,4.66,4.69,13.56,2.33,2.18,12.43,12.90,2.23,1.80,8.41,5.88
ALYREF,3.72,7.66,15.63,13.64,8.49,17.00,47.32,4.55,9.78,49.64,30.65,3.79,7.50,31.61,27.45
ANAPC11,5.20,16.90,33.22,22.73,13.64,28.37,69.22,6.25,19.78,77.78,62.90,5.36,16.33,51.26,62.75
NPB,0.37,1.14,1.15,2.27,0.33,1.29,2.35,0.21,0.41,2.51,1.61,1.34,1.21,1.69,19.61
PCYT2,0.37,3.18,8.16,6.82,3.49,4.10,22.94,2.81,3.05,36.74,24.19,0.89,2.68,19.62,11.76
SIRT7,4.09,8.27,4.25,4.55,7.99,14.42,10.74,6.25,11.57,16.97,16.13,6.92,12.44,10.15,15.69
MAFG,10.41,7.05,13.45,4.55,9.98,7.62,14.08,12.49,8.33,15.83,25.81,6.92,4.06,12.58,27.45
MAFG-DT,2.23,0.53,2.53,0.00,1.50,0.94,3.74,0.79,0.51,4.30,0.00,0.22,0.29,2.91,0.00
PYCR1,4.83,4.77,33.45,11.36,20.30,13.01,69.90,10.75,4.77,79.81,43.55,7.59,2.18,56.85,39.22
