gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
SH3PXD2A,67.66,35.15,49.43,50.00,76.21,33.29,77.22,58.66,28.57,73.00,54.84,52.46,21.94,66.33,72.55
AL121929.2,0.74,0.37,0.34,0.00,0.67,0.70,0.44,0.74,0.51,0.90,4.84,0.45,0.46,0.60,5.88
SH3PXD2A-AS1,1.49,1.75,1.26,0.00,3.00,3.63,5.29,1.75,0.99,7.65,4.84,0.22,0.63,3.68,1.96
AL133355.1,0.00,0.20,0.11,0.00,0.00,0.47,0.08,0.05,0.15,0.18,0.00,0.00,0.21,0.05,1.96
STN1,7.81,12.51,5.86,2.27,12.65,15.94,14.35,13.29,10.41,19.00,24.19,10.71,16.46,12.11,31.37
SLK,38.29,30.39,22.07,18.18,44.76,38.22,36.38,33.09,25.84,40.50,61.29,37.50,33.21,28.53,50.98
COL17A1,0.00,0.77,0.34,2.27,0.67,1.41,0.44,0.26,0.61,0.36,1.61,0.00,1.17,0.42,1.96
SFR1,4.09,2.89,6.32,6.82,6.16,3.40,8.55,4.24,3.12,9.62,30.65,3.35,3.52,5.92,13.73
CFAP43,7.06,2.81,2.30,0.00,13.98,4.34,1.23,7.04,0.90,1.67,1.61,3.12,1.30,1.09,0.00
GSTO1,13.38,18.82,26.09,20.45,16.47,24.27,53.20,13.34,18.40,66.25,61.29,12.95,18.43,39.52,45.10
GSTO2,13.75,6.97,18.74,9.09,26.29,12.78,24.53,11.96,4.07,24.79,11.29,4.91,2.97,19.40,1.96
ITPRIP,14.50,9.61,8.97,13.64,13.98,11.14,3.74,13.92,9.98,3.23,27.42,18.08,10.34,3.66,13.73
CFAP58,0.74,0.29,0.11,0.00,2.16,0.35,0.04,0.85,0.39,0.06,0.00,0.45,0.13,0.12,0.00
SORCS3,4.09,2.28,4.71,0.00,11.98,4.92,2.11,4.24,0.56,1.37,0.00,0.67,0.34,1.57,0.00
AL731574.1,0.00,0.41,0.34,0.00,1.50,0.94,0.95,0.69,0.12,0.84,1.61,0.00,0.17,0.52,0.00
SORCS1,0.37,0.90,0.00,0.00,1.66,0.59,0.00,1.54,1.26,0.00,0.00,1.34,0.88,0.02,0.00
LINC01435,0.00,0.41,0.00,0.00,0.83,0.82,0.00,0.32,1.48,0.00,0.00,0.45,0.25,0.02,0.00
XPNPEP1,14.50,14.13,13.10,6.82,23.29,15.12,30.30,17.73,15.91,41.28,29.03,11.61,12.19,23.43,23.53
ADD3-AS1,3.72,1.34,0.34,2.27,5.82,1.88,3.50,4.55,1.19,4.48,1.61,2.01,0.71,2.29,0.00
ADD3,46.47,50.71,17.47,38.64,50.08,54.87,42.98,48.91,54.77,56.81,58.06,34.82,50.17,34.42,39.22
MXI1,20.07,16.46,10.46,13.64,15.81,18.52,8.63,15.99,18.60,16.49,38.71,15.62,15.49,11.84,43.14
SMNDC1,12.64,13.93,14.60,9.09,24.79,18.87,30.46,14.29,14.84,37.10,35.48,11.61,13.61,24.12,33.33
AL355512.1,2.23,1.51,0.34,0.00,1.33,2.11,0.20,2.70,5.45,0.06,1.61,2.46,1.84,0.17,0.00
DUSP5,20.82,11.77,4.25,0.00,15.64,16.18,1.99,21.55,25.79,2.69,17.74,19.42,14.49,3.26,9.80
SMC3,15.61,22.00,20.34,18.18,27.29,33.18,40.40,18.58,22.98,39.84,45.16,14.51,21.90,27.48,29.41
RBM20,1.86,3.30,4.02,4.55,6.82,4.92,3.82,3.92,2.40,3.70,4.84,2.68,3.39,2.84,1.96
AL136368.1,0.37,1.06,0.00,0.00,0.67,1.06,0.04,0.32,0.53,0.12,1.61,0.45,0.75,0.02,1.96
PDCD4-AS1,1.49,1.63,7.24,6.82,3.33,3.63,8.27,1.85,1.89,6.57,8.06,0.22,1.09,6.42,7.84
PDCD4,52.42,57.07,72.99,65.91,73.54,70.34,74.67,52.36,55.54,79.87,70.97,58.04,65.28,66.33,74.51
BBIP1,17.10,16.25,13.45,18.18,20.63,18.99,25.84,14.29,15.21,29.03,33.87,10.94,14.49,19.80,27.45
AL158163.2,0.00,0.98,2.87,2.27,1.83,1.06,2.07,1.22,0.65,1.85,6.45,2.01,1.09,1.47,1.96
AL158163.1,2.97,1.59,2.99,2.27,3.33,2.46,3.58,1.32,1.31,3.23,8.06,2.01,2.26,2.46,3.92
SHOC2,46.47,36.25,21.72,18.18,60.73,43.96,30.10,47.06,44.70,38.47,53.23,36.16,35.18,26.78,31.37
ADRA2A,0.37,0.37,3.68,2.27,1.16,0.23,0.64,0.90,0.36,0.66,1.61,0.22,0.17,0.87,1.96
